hyperedge_id,source_nodes,target_nodes,source_size,target_size,reaction_id,sign,control_id
9112,1964|25907,25908,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction10940,1,http://www.reactome.org/biopax/96/48887#Catalysis5148
9113,17455|23647|23968|25451|25462,23832|25483|25678,5,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction10169,1,http://www.reactome.org/biopax/96/48887#Catalysis4684
9114,7084|23173|26337,23172|26194,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction2004,1,http://www.reactome.org/biopax/96/48887#Catalysis905
9115,1004|23546|25017,23173,3,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction9411,1,http://www.reactome.org/biopax/96/48887#Catalysis4015
9116,1069|23533,1082|23531,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction550,1,http://www.reactome.org/biopax/96/48887#Catalysis194
9117,18072|23832|25708,25709,3,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction10194,1,http://www.reactome.org/biopax/96/48887#Catalysis4707
9118,9382|24772,9383|24855,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction4436,1,http://www.reactome.org/biopax/96/48887#Catalysis1637
9121,8781|8828|13938,8822,3,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction213,-1,http://www.reactome.org/biopax/96/48887#Control35
9122,1657|14880|24772,1658|18287|24855,3,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction10528,1,http://www.reactome.org/biopax/96/48887#Catalysis4920
9123,9689|23795,26007,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction5100,1,http://www.reactome.org/biopax/96/48887#Catalysis2028
9124,13847|17206|23165,20857|23709,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction15166,1,http://www.reactome.org/biopax/96/48887#Catalysis6656
9125,3101|4425,20219,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction13900,1,http://www.reactome.org/biopax/96/48887#Catalysis6231
9126,4725|12498,23052,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction14293,1,http://www.reactome.org/biopax/96/48887#Control2691
9127,1178|1179,1180|15023|17930,2,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction9686,1,http://www.reactome.org/biopax/96/48887#Catalysis4249
9128,3167|24772,3169|24855,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction12531,1,http://www.reactome.org/biopax/96/48887#Catalysis5834
9129,5797|12987,17091,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction15508,1,http://www.reactome.org/biopax/96/48887#Control3035
9130,17225|24429|24772,23604|23968|24855,3,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction8048,1,http://www.reactome.org/biopax/96/48887#Catalysis2891
9131,6422|25350|25378,25389|25401,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction1229,1,http://www.reactome.org/biopax/96/48887#Catalysis521
9132,6250|6252|24772,6251|24855,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction1017,1,http://www.reactome.org/biopax/96/48887#Catalysis402
9133,12761|22355,22412,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction3001,1,http://www.reactome.org/biopax/96/48887#Control452
