old_node_id,new_node_id
0,0
1,1
2,2
3,3
4,4
7,5
8,6
9,7
10,8
17,9
18,10
19,11
20,12
21,13
24,14
25,15
26,16
27,17
28,18
29,19
30,20
31,21
32,22
33,23
34,24
37,25
38,26
39,27
40,28
41,29
42,30
45,31
46,32
48,33
50,34
51,35
52,36
53,37
54,38
55,39
56,40
62,41
63,42
64,43
66,44
67,45
70,46
71,47
72,48
73,49
74,50
75,51
76,52
77,53
78,54
81,55
84,56
85,57
86,58
96,59
97,60
98,61
110,62
112,63
113,64
114,65
115,66
120,67
121,68
122,69
123,70
130,71
133,72
146,73
148,74
149,75
150,76
151,77
152,78
153,79
154,80
155,81
156,82
157,83
160,84
161,85
162,86
164,87
165,88
166,89
168,90
169,91
170,92
171,93
172,94
173,95
174,96
190,97
191,98
192,99
193,100
194,101
195,102
196,103
197,104
198,105
199,106
200,107
201,108
202,109
203,110
204,111
205,112
206,113
207,114
208,115
209,116
210,117
211,118
212,119
213,120
214,121
215,122
216,123
217,124
218,125
219,126
220,127
232,128
233,129
234,130
238,131
239,132
242,133
243,134
246,135
248,136
258,137
259,138
260,139
261,140
262,141
264,142
265,143
266,144
267,145
268,146
272,147
273,148
279,149
280,150
281,151
282,152
283,153
301,154
303,155
304,156
305,157
306,158
307,159
308,160
309,161
310,162
311,163
312,164
313,165
315,166
316,167
319,168
320,169
321,170
323,171
330,172
331,173
332,174
334,175
336,176
337,177
338,178
339,179
340,180
341,181
342,182
343,183
344,184
345,185
347,186
348,187
349,188
350,189
351,190
353,191
354,192
358,193
361,194
362,195
363,196
364,197
365,198
366,199
367,200
368,201
371,202
373,203
376,204
377,205
378,206
379,207
383,208
384,209
388,210
389,211
390,212
391,213
394,214
396,215
397,216
400,217
401,218
407,219
408,220
411,221
416,222
417,223
423,224
425,225
427,226
428,227
429,228
432,229
438,230
439,231
440,232
441,233
442,234
443,235
444,236
447,237
448,238
450,239
451,240
452,241
453,242
455,243
456,244
458,245
459,246
460,247
463,248
464,249
466,250
469,251
470,252
471,253
473,254
474,255
476,256
477,257
478,258
479,259
480,260
481,261
483,262
484,263
485,264
486,265
487,266
488,267
489,268
494,269
495,270
497,271
498,272
499,273
500,274
501,275
503,276
504,277
518,278
519,279
523,280
534,281
535,282
536,283
538,284
540,285
548,286
549,287
550,288
554,289
557,290
558,291
559,292
560,293
564,294
571,295
591,296
601,297
602,298
606,299
611,300
612,301
613,302
622,303
623,304
625,305
626,306
627,307
631,308
637,309
640,310
642,311
643,312
644,313
646,314
647,315
648,316
650,317
654,318
655,319
656,320
657,321
664,322
668,323
675,324
676,325
677,326
678,327
679,328
681,329
682,330
683,331
684,332
685,333
686,334
689,335
690,336
691,337
693,338
694,339
695,340
696,341
697,342
698,343
699,344
700,345
703,346
709,347
710,348
712,349
713,350
714,351
715,352
716,353
717,354
718,355
719,356
720,357
721,358
722,359
723,360
724,361
725,362
727,363
728,364
729,365
730,366
732,367
734,368
739,369
742,370
743,371
745,372
748,373
749,374
750,375
751,376
753,377
754,378
756,379
757,380
758,381
761,382
762,383
763,384
767,385
768,386
769,387
770,388
771,389
772,390
773,391
774,392
775,393
776,394
777,395
778,396
779,397
780,398
781,399
782,400
783,401
784,402
789,403
793,404
794,405
795,406
796,407
801,408
802,409
803,410
805,411
806,412
807,413
808,414
813,415
814,416
815,417
818,418
823,419
824,420
825,421
826,422
827,423
829,424
830,425
832,426
844,427
855,428
861,429
862,430
863,431
864,432
866,433
873,434
875,435
876,436
877,437
884,438
885,439
886,440
887,441
888,442
889,443
896,444
897,445
898,446
900,447
911,448
924,449
929,450
939,451
946,452
948,453
949,454
950,455
951,456
952,457
953,458
955,459
956,460
973,461
974,462
975,463
978,464
979,465
982,466
984,467
986,468
990,469
992,470
995,471
996,472
997,473
998,474
999,475
1000,476
1006,477
1007,478
1010,479
1017,480
1019,481
1020,482
1021,483
1022,484
1024,485
1025,486
1026,487
1032,488
1034,489
1035,490
1036,491
1038,492
1040,493
1041,494
1042,495
1043,496
1044,497
1045,498
1046,499
1047,500
1048,501
1049,502
1061,503
1073,504
1083,505
1097,506
1100,507
1113,508
1116,509
1147,510
1148,511
1149,512
1151,513
1152,514
1153,515
1154,516
1155,517
1163,518
1167,519
1168,520
1179,521
1180,522
1184,523
1185,524
1186,525
1196,526
1197,527
1198,528
1199,529
1201,530
1202,531
1212,532
1213,533
1216,534
1218,535
1219,536
1220,537
1221,538
1222,539
1223,540
1225,541
1226,542
1227,543
1229,544
1230,545
1234,546
1235,547
1236,548
1237,549
1244,550
1245,551
1246,552
1264,553
1276,554
1277,555
1278,556
1280,557
1281,558
1282,559
1283,560
1286,561
1287,562
1289,563
1295,564
1296,565
1299,566
1300,567
1301,568
1302,569
1305,570
1307,571
1308,572
1311,573
1312,574
1313,575
1314,576
1316,577
1317,578
1326,579
1328,580
1332,581
1333,582
1334,583
1335,584
1336,585
1338,586
1339,587
1340,588
1342,589
1343,590
1345,591
1346,592
1347,593
1348,594
1349,595
1350,596
1351,597
1352,598
1353,599
1354,600
1356,601
1357,602
1361,603
1362,604
1365,605
1366,606
1367,607
1369,608
1370,609
1373,610
1374,611
1375,612
1376,613
1377,614
1378,615
1379,616
1380,617
1381,618
1383,619
1384,620
1386,621
1388,622
1389,623
1390,624
1391,625
1392,626
1393,627
1394,628
1395,629
1396,630
1397,631
1398,632
1399,633
1400,634
1401,635
1402,636
1403,637
1404,638
1405,639
1406,640
1407,641
1408,642
1409,643
1410,644
1412,645
1413,646
1415,647
1416,648
1417,649
1418,650
1420,651
1421,652
1422,653
1423,654
1425,655
1426,656
1428,657
1430,658
1431,659
1432,660
1434,661
1440,662
1441,663
1447,664
1450,665
1451,666
1452,667
1453,668
1454,669
1455,670
1457,671
1458,672
1459,673
1460,674
1462,675
1463,676
1464,677
1465,678
1466,679
1467,680
1468,681
1469,682
1475,683
1476,684
1477,685
1478,686
1489,687
1490,688
1491,689
1492,690
1510,691
1511,692
1512,693
1513,694
1514,695
1532,696
1533,697
1534,698
1535,699
1539,700
1540,701
1542,702
1543,703
1544,704
1545,705
1546,706
1547,707
1548,708
1549,709
1554,710
1557,711
1558,712
1559,713
1560,714
1561,715
1563,716
1564,717
1565,718
1566,719
1567,720
1568,721
1569,722
1570,723
1580,724
1581,725
1582,726
1591,727
1593,728
1599,729
1602,730
1613,731
1621,732
1626,733
1627,734
1628,735
1629,736
1630,737
1631,738
1632,739
1633,740
1634,741
1635,742
1636,743
1637,744
1638,745
1639,746
1640,747
1641,748
1642,749
1643,750
1644,751
1645,752
1646,753
1647,754
1648,755
1649,756
1650,757
1651,758
1652,759
1653,760
1654,761
1656,762
1657,763
1658,764
1659,765
1660,766
1661,767
1662,768
1663,769
1664,770
1665,771
1666,772
1667,773
1668,774
1669,775
1670,776
1671,777
1672,778
1673,779
1674,780
1675,781
1676,782
1677,783
1678,784
1679,785
1680,786
1681,787
1682,788
1683,789
1684,790
1685,791
1686,792
1687,793
1688,794
1689,795
1690,796
1692,797
1693,798
1694,799
1695,800
1697,801
1698,802
1701,803
1702,804
1703,805
1704,806
1705,807
1706,808
1708,809
1709,810
1710,811
1711,812
1712,813
1714,814
1715,815
1716,816
1717,817
1718,818
1720,819
1721,820
1722,821
1723,822
1726,823
1727,824
1728,825
1729,826
1730,827
1731,828
1732,829
1734,830
1735,831
1737,832
1738,833
1739,834
1740,835
1741,836
1742,837
1743,838
1744,839
1746,840
1747,841
1749,842
1750,843
1751,844
1752,845
1753,846
1754,847
1755,848
1756,849
1757,850
1758,851
1761,852
1762,853
1763,854
1765,855
1766,856
1769,857
1770,858
1771,859
1772,860
1773,861
1774,862
1775,863
1776,864
1777,865
1778,866
1779,867
1780,868
1781,869
1782,870
1783,871
1784,872
1785,873
1786,874
1787,875
1788,876
1789,877
1790,878
1791,879
1792,880
1793,881
1794,882
1796,883
1797,884
1798,885
1799,886
1800,887
1802,888
1803,889
1804,890
1805,891
1806,892
1809,893
1810,894
1811,895
1812,896
1813,897
1814,898
1815,899
1816,900
1818,901
1819,902
1820,903
1821,904
1822,905
1823,906
1824,907
1825,908
1826,909
1830,910
1831,911
1832,912
1833,913
1834,914
1835,915
1836,916
1837,917
1838,918
1839,919
1840,920
1842,921
1843,922
1844,923
1845,924
1846,925
1855,926
1856,927
1859,928
1862,929
1864,930
1865,931
1866,932
1867,933
1868,934
1869,935
1870,936
1872,937
1873,938
1874,939
1875,940
1876,941
1877,942
1878,943
1879,944
1880,945
1881,946
1884,947
1885,948
1886,949
1887,950
1888,951
1889,952
1890,953
1891,954
