old_node_id,new_node_id
0,0
2,1
4,2
5,3
6,4
7,5
8,6
9,7
10,8
11,9
12,10
13,11
14,12
15,13
16,14
17,15
18,16
19,17
20,18
21,19
22,20
23,21
25,22
26,23
27,24
28,25
29,26
30,27
31,28
32,29
33,30
35,31
36,32
37,33
38,34
40,35
41,36
42,37
43,38
44,39
46,40
47,41
48,42
49,43
50,44
51,45
52,46
53,47
54,48
56,49
57,50
58,51
59,52
60,53
61,54
62,55
63,56
64,57
66,58
67,59
68,60
69,61
70,62
71,63
72,64
74,65
75,66
76,67
77,68
78,69
79,70
80,71
81,72
84,73
85,74
86,75
87,76
88,77
89,78
90,79
91,80
92,81
93,82
94,83
95,84
96,85
97,86
98,87
99,88
100,89
102,90
103,91
104,92
105,93
106,94
107,95
108,96
109,97
110,98
111,99
112,100
113,101
114,102
115,103
116,104
117,105
118,106
120,107
121,108
122,109
124,110
125,111
126,112
127,113
128,114
129,115
134,116
135,117
136,118
137,119
138,120
139,121
140,122
141,123
142,124
143,125
144,126
145,127
146,128
147,129
148,130
149,131
150,132
151,133
152,134
153,135
154,136
155,137
156,138
157,139
158,140
159,141
160,142
161,143
162,144
163,145
164,146
165,147
166,148
167,149
168,150
169,151
170,152
171,153
172,154
173,155
174,156
175,157
176,158
177,159
178,160
179,161
180,162
181,163
183,164
184,165
185,166
186,167
187,168
188,169
189,170
190,171
191,172
192,173
193,174
194,175
195,176
196,177
197,178
198,179
199,180
200,181
201,182
202,183
203,184
204,185
205,186
206,187
207,188
208,189
210,190
211,191
212,192
213,193
214,194
215,195
216,196
217,197
218,198
219,199
220,200
221,201
222,202
223,203
224,204
225,205
226,206
227,207
228,208
229,209
230,210
231,211
232,212
233,213
234,214
235,215
236,216
237,217
238,218
239,219
240,220
242,221
243,222
244,223
246,224
247,225
248,226
249,227
253,228
254,229
255,230
258,231
259,232
260,233
261,234
262,235
263,236
264,237
265,238
266,239
267,240
268,241
269,242
270,243
271,244
272,245
273,246
274,247
275,248
276,249
277,250
278,251
279,252
281,253
282,254
284,255
285,256
286,257
287,258
288,259
289,260
295,261
296,262
297,263
298,264
299,265
301,266
302,267
303,268
304,269
305,270
306,271
307,272
308,273
309,274
310,275
311,276
312,277
313,278
314,279
315,280
316,281
317,282
318,283
319,284
320,285
321,286
322,287
324,288
325,289
326,290
327,291
329,292
340,293
341,294
342,295
343,296
344,297
348,298
350,299
352,300
353,301
354,302
358,303
360,304
361,305
362,306
363,307
364,308
365,309
366,310
367,311
369,312
370,313
371,314
372,315
373,316
374,317
375,318
376,319
377,320
399,321
401,322
403,323
405,324
407,325
408,326
409,327
411,328
412,329
415,330
416,331
417,332
419,333
420,334
421,335
422,336
423,337
424,338
425,339
426,340
427,341
428,342
429,343
430,344
431,345
432,346
433,347
434,348
435,349
438,350
439,351
440,352
441,353
442,354
443,355
444,356
445,357
450,358
451,359
455,360
456,361
459,362
461,363
475,364
476,365
477,366
478,367
480,368
481,369
482,370
486,371
487,372
488,373
489,374
492,375
493,376
494,377
495,378
496,379
497,380
498,381
499,382
500,383
501,384
502,385
503,386
505,387
506,388
507,389
508,390
509,391
512,392
513,393
514,394
515,395
521,396
530,397
535,398
538,399
540,400
546,401
547,402
548,403
550,404
554,405
555,406
556,407
557,408
558,409
559,410
560,411
562,412
563,413
564,414
565,415
566,416
567,417
568,418
569,419
572,420
577,421
582,422
585,423
586,424
588,425
589,426
590,427
591,428
592,429
593,430
594,431
595,432
596,433
597,434
619,435
620,436
621,437
622,438
625,439
627,440
635,441
639,442
642,443
643,444
645,445
650,446
651,447
652,448
654,449
656,450
660,451
661,452
664,453
668,454
669,455
670,456
671,457
672,458
677,459
678,460
679,461
680,462
681,463
682,464
688,465
690,466
693,467
697,468
698,469
699,470
700,471
701,472
702,473
704,474
705,475
706,476
707,477
708,478
709,479
710,480
711,481
712,482
713,483
714,484
715,485
716,486
717,487
718,488
719,489
720,490
721,491
722,492
723,493
724,494
725,495
726,496
727,497
728,498
730,499
732,500
735,501
736,502
739,503
742,504
744,505
745,506
746,507
747,508
749,509
750,510
751,511
752,512
753,513
755,514
756,515
757,516
758,517
760,518
761,519
767,520
768,521
769,522
771,523
773,524
774,525
776,526
777,527
778,528
779,529
780,530
781,531
784,532
785,533
788,534
789,535
791,536
