hyperedge_id,source_nodes,target_nodes,source_size,target_size,reaction_id,sign,control_id
2802,3684,3685|11038|11376,1,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction3520,1,http://www.reactome.org/biopax/96/48895#Catalysis1623
2803,7000|16482,7001|8245,2,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6731,1,http://www.reactome.org/biopax/96/48895#Catalysis2912
2804,8071|8317,8297,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction227,1,http://www.reactome.org/biopax/96/48895#Catalysis75
2805,7239|14676|14679,14652|16533,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7014,1,http://www.reactome.org/biopax/96/48895#Catalysis3093
2806,7335|14255|15426|16482,15427,4,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7826,1,http://www.reactome.org/biopax/96/48895#Catalysis3866
2807,10596|14772|16422|16462,14773|16466,4,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7156,1,http://www.reactome.org/biopax/96/48895#Catalysis3224
2808,10595|14765|16462,14767|16422|16466,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7151,1,http://www.reactome.org/biopax/96/48895#Catalysis3219
2809,267|16033|16482,14734|16034,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8531,1,http://www.reactome.org/biopax/96/48895#Catalysis4530
2811,12536|14237|16551,14793|16553,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction1846,1,http://www.reactome.org/biopax/96/48895#Catalysis785
2812,7492|14195|14255|14793|16563,15281|16482|16552,5,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7683,-1,http://www.reactome.org/biopax/96/48895#Control711
2813,1050|16462,1051|10416|16466,2,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction1080,1,http://www.reactome.org/biopax/96/48895#Catalysis472
2814,5485|13927|16299,13979|14446,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction5134,1,http://www.reactome.org/biopax/96/48895#Catalysis2188
2815,1108|16504,992|1109|11843|11846|16466|16514,2,6,http://www.reactome.org/biopax/96/48895#BiochemicalReaction1117,1,http://www.reactome.org/biopax/96/48895#Catalysis482
2816,7440|14105|15183,14324|15184|16551,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7588,1,http://www.reactome.org/biopax/96/48895#Catalysis3642
2817,2093|2094,2095,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction2266,1,http://www.reactome.org/biopax/96/48895#Catalysis1077
2818,6500|16328|16329,6501|16331|16332|16420,3,4,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6107,1,http://www.reactome.org/biopax/96/48895#Catalysis2506
2819,13055|13127|16482,13052|16574,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction2696,1,http://www.reactome.org/biopax/96/48895#Catalysis1270
2820,47|14635|16213,14855|16214|16482,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8656,1,http://www.reactome.org/biopax/96/48895#Catalysis4650
2821,6843|14542,14544,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6468,1,http://www.reactome.org/biopax/96/48895#Catalysis2670
2822,10751|13927|15136,14446|15137,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7540,1,http://www.reactome.org/biopax/96/48895#Catalysis3597
2823,12548|16564|16565,14793|16566,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction1860,1,http://www.reactome.org/biopax/96/48895#Catalysis799
2824,10938|14418|15545,14417|15530,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8016,1,http://www.reactome.org/biopax/96/48895#Catalysis4028
2825,875|15029|15089|16482,14793|15050|15107,4,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction891,1,http://www.reactome.org/biopax/96/48895#Catalysis354
2826,5174|13927|16299,13979|14446,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction4855,1,http://www.reactome.org/biopax/96/48895#Catalysis2063
2827,6983|16482,6984|7803,2,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6722,1,http://www.reactome.org/biopax/96/48895#Catalysis2905
2828,7564|14255|16563,14793|16377|16552,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7926,1,http://www.reactome.org/biopax/96/48895#Catalysis3958
2829,2409|12734,11915,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction2154,-1,http://www.reactome.org/biopax/96/48895#Control221
2830,4463|14388|14393|16564,14390|14394,4,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction4220,1,http://www.reactome.org/biopax/96/48895#Catalysis1859
2831,10953|15551|15619,15620|16475|16588,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8081,1,http://www.reactome.org/biopax/96/48895#Catalysis4089
2832,11638|14147|14211|14297|14323,13928|14237|14309|14793,5,4,http://www.reactome.org/biopax/96/48895#BiochemicalReaction753,-1,http://www.reactome.org/biopax/96/48895#Control59
2833,440|441|16504,444|16421,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8811,1,http://www.reactome.org/biopax/96/48895#Catalysis4733
2834,3309|3310,3311|16574,2,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction3188,1,http://www.reactome.org/biopax/96/48895#Catalysis1493
2835,10743|13979|16482,16363|16574,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7528,1,http://www.reactome.org/biopax/96/48895#Catalysis3585
2836,3175|3843,3182|14087,2,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction3678,1,http://www.reactome.org/biopax/96/48895#Catalysis1696
2837,2659|13927,13116|13149|14446,2,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction2662,1,http://www.reactome.org/biopax/96/48895#Catalysis1245
2838,3906|3976|10270,3966,3,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction370,-1,http://www.reactome.org/biopax/96/48895#Control24
2839,10226|14684|15591,10229|15592|16482,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8061,-1,http://www.reactome.org/biopax/96/48895#Control790
2840,10586|14115|14737,14607|14738,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7117,1,http://www.reactome.org/biopax/96/48895#Catalysis3185
2841,5953,5954|16574,1,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction5556,1,http://www.reactome.org/biopax/96/48895#Catalysis2287
2842,6300|9566|16482,9567|14490,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction5878,-1,http://www.reactome.org/biopax/96/48895#Control542
2843,10637|14842,14849|14850,2,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7241,1,http://www.reactome.org/biopax/96/48895#Catalysis3301
2845,2633|13127|13927,2635|13129|14446,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction2632,1,http://www.reactome.org/biopax/96/48895#Catalysis1231
2846,10797|14348|16482,14407|15082,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7627,1,http://www.reactome.org/biopax/96/48895#Catalysis3679
2847,497|11252,498,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8851,1,http://www.reactome.org/biopax/96/48895#Control883
2848,9866|13927|14513,14446|14514,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6438,1,http://www.reactome.org/biopax/96/48895#Catalysis2640
2849,2299|2321|2334|2336|12926|12927,2335,6,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction2400,1,http://www.reactome.org/biopax/96/48895#Control244
2850,9473|12007|13927,12006|14446,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction5722,1,http://www.reactome.org/biopax/96/48895#Control514
2851,502|506,505,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8854,1,http://www.reactome.org/biopax/96/48895#Control898
2852,880|9661|15939,1331|14254,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6029,1,http://www.reactome.org/biopax/96/48895#Catalysis2482
2853,7735|10660,10206,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6743,1,http://www.reactome.org/biopax/96/48895#Catalysis2920
2854,1493|13927,1494|14446,2,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction1519,1,http://www.reactome.org/biopax/96/48895#Catalysis653
2855,705|712|11623|11624|11625|11627|11628,713,7,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction751,1,http://www.reactome.org/biopax/96/48895#Control57
2856,1238|3760|13927,3761|14446,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction3600,1,http://www.reactome.org/biopax/96/48895#Catalysis1656
2858,11066|15991|15993,14793|15919|16585,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8495,1,http://www.reactome.org/biopax/96/48895#Catalysis4495
2859,705|716|11623|11624|11627|11628|11634,717,7,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction755,1,http://www.reactome.org/biopax/96/48895#Catalysis272
2860,768|15607|15844,784|15940|16040,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction100,1,http://www.reactome.org/biopax/96/48895#Catalysis32
2861,497|11245,498,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8851,1,http://www.reactome.org/biopax/96/48895#Control872
2862,5272|13927|16299,13979|14446,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction4939,1,http://www.reactome.org/biopax/96/48895#Catalysis2098
2863,14419|15527|16475,14317|14417|14420,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7961,1,http://www.reactome.org/biopax/96/48895#Control747
