hyperedge_id,source_nodes,target_nodes,source_size,target_size,reaction_id,sign,control_id
1099,5200|8685|9025,8680,3,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3113,1,http://www.reactome.org/biopax/96/56210#Catalysis1933
1100,4926|8045|8393|9148,8394|8938|8974,4,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2748,1,http://www.reactome.org/biopax/96/56210#Catalysis1602
1101,2163|8866|9359,8867|8868,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3278,1,http://www.reactome.org/biopax/96/56210#Catalysis2097
1102,2433|5273|8045,5277,3,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction257,1,http://www.reactome.org/biopax/96/56210#Control27
1103,4912|7963|8259,7786|7964|8270,3,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2380,1,http://www.reactome.org/biopax/96/56210#Catalysis1247
1104,5231|8045|8809|9308,8476|8810|8938|9515,4,4,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3235,1,http://www.reactome.org/biopax/96/56210#Catalysis2054
1105,4122|9144|9194,9142|9193,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction636,1,http://www.reactome.org/biopax/96/56210#Catalysis435
1108,4158|4168|8045,4166|8395,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction4534,1,http://www.reactome.org/biopax/96/56210#Catalysis2657
1109,2064|8682|9308,8681,3,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3110,1,http://www.reactome.org/biopax/96/56210#Catalysis1930
1110,4020|6229|6793|8045,4018,4,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction398,1,http://www.reactome.org/biopax/96/56210#Catalysis222
1111,2610|8045,2612|8395,2,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3729,1,http://www.reactome.org/biopax/96/56210#Catalysis2330
1112,815|7184,7186,2,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction1467,1,http://www.reactome.org/biopax/96/56210#Control148
1113,3296|5773|9308,3297|8476,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction4378,1,http://www.reactome.org/biopax/96/56210#Control414
1114,7526|7545|9308,7523|8476,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction1985,1,http://www.reactome.org/biopax/96/56210#Catalysis999
1115,2129|8045|9308|9347,8476|8974|9270,4,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3219,1,http://www.reactome.org/biopax/96/56210#Catalysis2038
1116,4669|7719,4729,2,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction32,1,http://www.reactome.org/biopax/96/56210#Catalysis32
1117,8733|9025|9135|9183,8734|9002|9136|9156,4,4,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3153,1,http://www.reactome.org/biopax/96/56210#Control313
1118,3960|9025|9181,3958|9183|9184,3,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction5006,1,http://www.reactome.org/biopax/96/56210#Catalysis2917
1119,1633|9453,1638|9446|9515,2,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2218,1,http://www.reactome.org/biopax/96/56210#Catalysis1097
1120,1476|7796|9269,7797|9149|9510,3,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2048,1,http://www.reactome.org/biopax/96/56210#Catalysis1032
1121,113|133|8045,120|8395,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction856,1,http://www.reactome.org/biopax/96/56210#Catalysis545
1122,110|6547,6548|6550,2,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction878,1,http://www.reactome.org/biopax/96/56210#Catalysis563
1123,3818|9308,3819|6793,2,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction4870,1,http://www.reactome.org/biopax/96/56210#Catalysis2848
1124,1468|1475,743|6916|7246,2,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2040,1,http://www.reactome.org/biopax/96/56210#Catalysis1028
1125,3529|8045|8997,1100|3524|3530|8395,3,4,http://www.reactome.org/biopax/96/56210#BiochemicalReaction4611,1,http://www.reactome.org/biopax/96/56210#Control425
1126,311|2290|8045,312|8395,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction1027,1,http://www.reactome.org/biopax/96/56210#Catalysis621
1127,2007|8607|9025,7846|8608|9002,3,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3016,1,http://www.reactome.org/biopax/96/56210#Catalysis1838
1128,2103|8756|9002|9161,8755|9159,4,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3178,1,http://www.reactome.org/biopax/96/56210#Catalysis1997
1129,4823|8395|8554,8045|8552,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2971,1,http://www.reactome.org/biopax/96/56210#Catalysis1793
1130,2046|8747|9002|9183|9184,7854|8746|9181,5,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3169,1,http://www.reactome.org/biopax/96/56210#Catalysis1988
1131,3815|9139,9140,2,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction347,1,http://www.reactome.org/biopax/96/56210#Catalysis211
1133,7741|8045|8395,7865|8395|9515,3,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2255,1,http://www.reactome.org/biopax/96/56210#Control209
1134,4952|8019|8097,8093|8098,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2482,1,http://www.reactome.org/biopax/96/56210#Catalysis1347
1135,501|9605|9606,9269|9607,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction1209,1,http://www.reactome.org/biopax/96/56210#Catalysis707
1136,373|4512|9308,9573|9574|9579,3,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction1068,1,http://www.reactome.org/biopax/96/56210#Catalysis645
1137,279|6720,281,2,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction1002,1,http://www.reactome.org/biopax/96/56210#Control97
1138,1909|4830|9159,4840|8506,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3659,1,http://www.reactome.org/biopax/96/56210#Catalysis2303
1139,6307|8542|9142|9335,9144|9170|9343,4,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction511,1,http://www.reactome.org/biopax/96/56210#Catalysis322
1140,7854|7855|7857|9181,7856|9002|9183|9184,4,4,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2235,1,http://www.reactome.org/biopax/96/56210#Control202
1141,3942|6158|9269,6162,3,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction4982,1,http://www.reactome.org/biopax/96/56210#Catalysis2905
1142,4115|9166,9121,2,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction626,1,http://www.reactome.org/biopax/96/56210#Catalysis429
1143,2742|8045,2745|8395,2,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3846,1,http://www.reactome.org/biopax/96/56210#Catalysis2386
1144,2650,2530|2548|5399|5414|5451|5456|5458|5486|9141,1,9,http://www.reactome.org/biopax/96/56210#BiochemicalReaction279,1,http://www.reactome.org/biopax/96/56210#Catalysis162
1145,5994|9011|9053,9051|9054,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction4788,1,http://www.reactome.org/biopax/96/56210#Control438
1146,351|390|4206|6793,306|4206,4,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction1087,1,http://www.reactome.org/biopax/96/56210#Catalysis655
1147,1688|7914,9560,2,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2288,1,http://www.reactome.org/biopax/96/56210#Catalysis1165
1148,5962|5963|8045|9165,5936|8938|8974,4,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction4738,1,http://www.reactome.org/biopax/96/56210#Catalysis2728
1149,432|6832|8259,6833|8270,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction1097,1,http://www.reactome.org/biopax/96/56210#Catalysis660
1150,4529|6838|8259,6839|8270,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction1104,1,http://www.reactome.org/biopax/96/56210#Catalysis667
1151,2176|8893|9252,8894|9457|9515,3,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3308,1,http://www.reactome.org/biopax/96/56210#Catalysis2126
1153,3030|6296|9093,3030|9138,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction11,1,http://www.reactome.org/biopax/96/56210#Catalysis11
1154,1632|9453,1633|9446|9515,2,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2214,1,http://www.reactome.org/biopax/96/56210#Catalysis1093
1155,6251|9170|9217,9218|9515,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction433,1,http://www.reactome.org/biopax/96/56210#Catalysis245
1157,7741|8045|9324,7865|8395|9515,3,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2255,-1,http://www.reactome.org/biopax/96/56210#Control207
1158,8045|8927|9516|9553,8395|8476|9516,4,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3340,-1,http://www.reactome.org/biopax/96/56210#Control330
1159,1773,1778|1792,1,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction206,1,http://www.reactome.org/biopax/96/56210#Catalysis116
1160,4085|6227,6793,2,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction395,1,http://www.reactome.org/biopax/96/56210#Catalysis220
1161,1549|9474,9121,2,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2128,1,http://www.reactome.org/biopax/96/56210#Catalysis1067
1162,1539|7616|7977,1540|7986|9515,3,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2112,1,http://www.reactome.org/biopax/96/56210#Catalysis1058
1163,7788|8609|9308,7772|8974|9515,3,3,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3017,1,http://www.reactome.org/biopax/96/56210#Control300
1164,6294|9143,9145,2,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction489,1,http://www.reactome.org/biopax/96/56210#Catalysis300
1165,3777|9139,9140,2,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction343,1,http://www.reactome.org/biopax/96/56210#Catalysis207
1166,1229|9308,1230|8476,2,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction1793,1,http://www.reactome.org/biopax/96/56210#Catalysis892
1167,7028|7120|8259,7121|8270,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction1392,1,http://www.reactome.org/biopax/96/56210#Catalysis759
1168,9|56|8259,48|8270,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction91,1,http://www.reactome.org/biopax/96/56210#Catalysis65
1169,4797|8045|8218,8219|8395,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2565,1,http://www.reactome.org/biopax/96/56210#Catalysis1428
1170,4213|7403|8045,1202|8395,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction1769,1,http://www.reactome.org/biopax/96/56210#Catalysis883
1171,6356|7986|8426|9515,7977|8428,4,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2776,1,http://www.reactome.org/biopax/96/56210#Catalysis1630
1172,2889|8045,2890|8395,2,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3973,1,http://www.reactome.org/biopax/96/56210#Catalysis2443
1173,2424|4834|8045,2427|8395,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction3572,1,http://www.reactome.org/biopax/96/56210#Catalysis2272
1174,3313|7665|9308,5105|8476,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction4408,1,http://www.reactome.org/biopax/96/56210#Catalysis2601
1175,5074|7986|9023|9515,7977|9024,4,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction4760,1,http://www.reactome.org/biopax/96/56210#Catalysis2750
1176,1338|7498|8281,7492|8287,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction1894,1,http://www.reactome.org/biopax/96/56210#Catalysis940
1177,9166|9172,9121,2,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction317,-1,http://www.reactome.org/biopax/96/56210#Control37
1178,7618|7817|7986|9515,7828|7977,4,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction2115,1,http://www.reactome.org/biopax/96/56210#Catalysis1060
1179,3991|3992|6211,3993,3,1,http://www.reactome.org/biopax/96/56210#BiochemicalReaction376,1,http://www.reactome.org/biopax/96/56210#Control40
1180,96|452|8134,453|9138,3,2,http://www.reactome.org/biopax/96/56210#BiochemicalReaction1158,1,http://www.reactome.org/biopax/96/56210#Catalysis688
