hyperedge_id,source_nodes,target_nodes,source_size,target_size,reaction_id,sign,control_id
4998,10556|16827|16828|16829,16830|16831,4,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction3628,1,http://www.reactome.org/biopax/96/48892#Catalysis1858
4999,6917|17020,12179|12185|17029,2,3,http://www.reactome.org/biopax/96/48892#BiochemicalReaction6392,1,http://www.reactome.org/biopax/96/48892#Catalysis3695
5000,5003|10790|18777,10788|17458|17459,3,3,http://www.reactome.org/biopax/96/48892#BiochemicalReaction4281,1,http://www.reactome.org/biopax/96/48892#Catalysis2463
5001,3158|16026,16027,2,1,http://www.reactome.org/biopax/96/48892#BiochemicalReaction1913,1,http://www.reactome.org/biopax/96/48892#Control272
5002,5787|18085,18005,2,1,http://www.reactome.org/biopax/96/48892#BiochemicalReaction5403,1,http://www.reactome.org/biopax/96/48892#Catalysis3282
5003,15801|15869|16368,13920|16453,3,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction9387,1,http://www.reactome.org/biopax/96/48892#Catalysis4773
5004,14612|15534|17668,15533|17679,3,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction1396,1,http://www.reactome.org/biopax/96/48892#Catalysis662
5005,2854|16432,16293|16443,2,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction1676,1,http://www.reactome.org/biopax/96/48892#Catalysis805
5006,1151|16368,1152|16453,2,2,http://www.reactome.org/biopax/96/48892#BiochemicalReaction9309,1,http://www.reactome.org/biopax/96/48892#Catalysis4734
5007,7721,7722|7723|12722,1,3,http://www.reactome.org/biopax/96/48892#BiochemicalReaction7108,1,http://www.reactome.org/biopax/96/48892#Catalysis3930
