old_node_id,new_node_id
3,0
5,1
6,2
7,3
8,4
9,5
11,6
12,7
13,8
15,9
16,10
17,11
18,12
19,13
21,14
24,15
26,16
27,17
28,18
29,19
30,20
31,21
33,22
34,23
36,24
37,25
38,26
40,27
41,28
42,29
43,30
44,31
45,32
46,33
47,34
49,35
52,36
53,37
54,38
67,39
68,40
69,41
72,42
73,43
74,44
75,45
76,46
78,47
80,48
81,49
82,50
83,51
84,52
86,53
94,54
99,55
100,56
101,57
104,58
105,59
107,60
108,61
111,62
112,63
113,64
114,65
115,66
116,67
117,68
118,69
120,70
123,71
124,72
125,73
126,74
128,75
130,76
140,77
145,78
148,79
149,80
150,81
151,82
152,83
154,84
155,85
157,86
158,87
159,88
160,89
161,90
162,91
165,92
171,93
172,94
173,95
181,96
182,97
183,98
184,99
185,100
186,101
187,102
188,103
189,104
190,105
191,106
193,107
194,108
196,109
197,110
198,111
199,112
200,113
201,114
205,115
207,116
209,117
210,118
211,119
212,120
214,121
215,122
216,123
217,124
218,125
220,126
221,127
222,128
224,129
226,130
228,131
229,132
231,133
232,134
233,135
235,136
236,137
237,138
238,139
239,140
240,141
244,142
245,143
246,144
247,145
248,146
250,147
253,148
254,149
255,150
256,151
257,152
258,153
259,154
260,155
261,156
262,157
265,158
266,159
267,160
268,161
273,162
274,163
280,164
283,165
284,166
285,167
286,168
288,169
289,170
290,171
291,172
292,173
295,174
297,175
298,176
301,177
307,178
308,179
309,180
311,181
312,182
314,183
315,184
316,185
317,186
318,187
319,188
325,189
326,190
327,191
328,192
329,193
330,194
333,195
334,196
343,197
344,198
345,199
346,200
348,201
349,202
351,203
352,204
356,205
357,206
358,207
359,208
360,209
361,210
362,211
363,212
364,213
366,214
367,215
368,216
369,217
370,218
371,219
372,220
375,221
376,222
377,223
378,224
380,225
381,226
382,227
383,228
385,229
386,230
391,231
392,232
395,233
396,234
397,235
398,236
399,237
401,238
402,239
403,240
406,241
407,242
410,243
414,244
415,245
419,246
420,247
421,248
423,249
424,250
425,251
426,252
427,253
428,254
429,255
430,256
431,257
432,258
433,259
434,260
436,261
437,262
438,263
439,264
441,265
442,266
444,267
445,268
451,269
452,270
453,271
454,272
455,273
456,274
457,275
458,276
459,277
466,278
467,279
468,280
470,281
471,282
474,283
475,284
480,285
484,286
485,287
486,288
489,289
490,290
493,291
498,292
506,293
507,294
508,295
509,296
510,297
513,298
517,299
518,300
525,301
535,302
567,303
578,304
605,305
606,306
607,307
608,308
610,309
611,310
612,311
613,312
614,313
615,314
616,315
650,316
671,317
677,318
678,319
680,320
693,321
711,322
730,323
731,324
732,325
735,326
736,327
739,328
741,329
744,330
745,331
746,332
747,333
748,334
749,335
750,336
751,337
752,338
753,339
756,340
757,341
759,342
760,343
761,344
762,345
763,346
766,347
767,348
768,349
769,350
770,351
771,352
772,353
776,354
777,355
780,356
781,357
784,358
785,359
786,360
787,361
792,362
793,363
794,364
795,365
796,366
798,367
800,368
801,369
802,370
808,371
825,372
826,373
827,374
829,375
830,376
831,377
832,378
833,379
834,380
835,381
836,382
837,383
846,384
847,385
848,386
849,387
850,388
853,389
854,390
855,391
856,392
858,393
859,394
865,395
867,396
868,397
869,398
873,399
874,400
880,401
883,402
884,403
890,404
891,405
899,406
900,407
901,408
902,409
903,410
905,411
906,412
907,413
908,414
909,415
910,416
911,417
912,418
914,419
915,420
930,421
932,422
933,423
939,424
941,425
942,426
945,427
946,428
947,429
948,430
949,431
950,432
952,433
953,434
954,435
955,436
956,437
957,438
958,439
959,440
960,441
961,442
962,443
966,444
967,445
971,446
972,447
976,448
980,449
986,450
987,451
988,452
996,453
998,454
999,455
1002,456
1003,457
1004,458
1006,459
1007,460
1008,461
1009,462
1010,463
1011,464
1026,465
1027,466
1028,467
1029,468
1030,469
1031,470
1032,471
1034,472
1045,473
1048,474
1052,475
1053,476
1060,477
1061,478
1086,479
1090,480
1094,481
1097,482
1098,483
1101,484
1103,485
1104,486
1107,487
1108,488
1109,489
1110,490
1111,491
1112,492
1124,493
1128,494
1129,495
1130,496
1131,497
1132,498
1133,499
1143,500
1144,501
1145,502
1146,503
1147,504
1149,505
1150,506
1151,507
1152,508
1153,509
1154,510
1155,511
1156,512
1157,513
1158,514
1159,515
1160,516
1161,517
1162,518
1163,519
1164,520
1171,521
1172,522
1173,523
1175,524
1176,525
1177,526
1178,527
1179,528
1180,529
1182,530
1183,531
1184,532
1185,533
1186,534
1188,535
1189,536
1190,537
1191,538
1194,539
1195,540
1196,541
1197,542
1199,543
1200,544
1201,545
1202,546
1203,547
1204,548
1205,549
1207,550
1209,551
1211,552
1212,553
1213,554
1214,555
1215,556
1216,557
1217,558
1218,559
1226,560
1228,561
1230,562
1237,563
1238,564
1240,565
1244,566
1245,567
1252,568
1258,569
1266,570
1267,571
1272,572
1281,573
1282,574
1283,575
1284,576
1290,577
1291,578
1299,579
1300,580
1304,581
1305,582
1317,583
1318,584
1319,585
1320,586
1323,587
1324,588
1325,589
1327,590
1331,591
1341,592
1342,593
1343,594
1344,595
1345,596
1350,597
1352,598
1368,599
1369,600
1373,601
1375,602
1376,603
1377,604
1378,605
1379,606
1380,607
1381,608
1383,609
1384,610
1386,611
1387,612
1388,613
1390,614
1391,615
1392,616
1394,617
1395,618
